player,player_url,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,team
Mateus Fernandes,https://fbref.com/en/players/ef491564/Mateus-Fernandes,MF,20,36,34,"2,909",32.3,2,4,6,2,0,0,8,0,Southampton
Kyle Walker-Peters,https://fbref.com/en/players/984a5a64/Kyle-Walker-Peters,DF,27,33,33,"2,918",32.4,0,2,2,0,0,0,5,0,Southampton
Taylor Harwood-Bellis,https://fbref.com/en/players/47327321/Taylor-Harwood-Bellis,DF,22,34,32,"2,825",31.4,1,0,1,1,0,0,9,0,Southampton
Aaron Ramsdale,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,GK,26,30,30,"2,700",30.0,0,0,0,0,0,0,2,0,Southampton
Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,28,30,30,"2,531",28.1,2,0,2,2,0,0,7,0,Southampton
Flynn Downes,https://fbref.com/en/players/69fdb896/Flynn-Downes,MF,25,27,25,"2,151",23.9,1,0,1,1,0,0,12,0,Southampton
Joe Aribo,https://fbref.com/en/players/328f7d51/Joe-Aribo,"MF,DF",28,32,21,"2,013",22.4,3,0,3,3,0,0,1,0,Southampton
Tyler Dibling,https://fbref.com/en/players/bdcc89ae/Tyler-Dibling,"FW,MF",18,33,20,"1,874",20.8,2,0,2,2,0,0,6,0,Southampton
Lesley Ugochukwu,https://fbref.com/en/players/1df4a109/Lesley-Ugochukwu,MF,20,26,18,"1,655",18.4,1,1,2,1,0,0,7,0,Southampton
Ryan Manning,https://fbref.com/en/players/847b53eb/Ryan-Manning,"DF,MF",28,24,18,"1,462",16.2,0,1,1,0,0,0,2,0,Southampton
Kamaldeen Sulemana,https://fbref.com/en/players/a62f8bf1/Kamaldeen-Sulemana,"FW,MF",22,26,17,"1,402",15.6,1,1,2,1,0,0,2,0,Southampton
Jack Stephens,https://fbref.com/en/players/6adbc307/Jack-Stephens,DF,30,19,17,"1,389",15.4,1,0,1,1,0,0,2,2,Southampton
Yukinari Sugawara,https://fbref.com/en/players/580bcd18/Yukinari-Sugawara,"DF,MF",24,30,16,"1,557",17.3,1,1,2,1,0,0,4,0,Southampton
Adam Armstrong,https://fbref.com/en/players/68c720b5/Adam-Armstrong,"FW,MF",27,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,Southampton
Cameron Archer,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,FW,23,35,13,"1,441",16.0,2,0,2,2,0,1,0,0,Southampton
James Bree,https://fbref.com/en/players/c07b7c5c/James-Bree,DF,26,17,13,"1,075",11.9,0,1,1,0,0,0,0,0,Southampton
Paul Onuachu,https://fbref.com/en/players/c06d1086/Paul-Onuachu,FW,30,25,11,"1,050",11.7,4,1,5,4,0,0,4,0,Southampton
Nathan Wood-Gordon,https://fbref.com/en/players/4ccf2d5b/Nathan-Wood-Gordon,DF,22,11,9,773,8.6,0,0,0,0,0,0,2,0,Southampton
William Smallbone,https://fbref.com/en/players/5e105217/William-Smallbone,MF,24,18,6,690,7.7,1,0,1,1,0,0,1,0,Southampton
Welington,https://fbref.com/en/players/a7f95b1f/Welington,DF,23,10,6,482,5.4,0,0,0,0,0,0,1,0,Southampton
Alex McCarthy,https://fbref.com/en/players/36c2ca73/Alex-McCarthy,GK,34,5,5,450,5.0,0,0,0,0,0,0,0,0,Southampton
Adam Lallana,https://fbref.com/en/players/99813635/Adam-Lallana,MF,36,14,5,361,4.0,0,2,2,0,0,0,4,0,Southampton
Ben Brereton,https://fbref.com/en/players/57827369/Ben-Brereton,FW,25,10,4,449,5.0,0,0,0,0,0,0,1,0,Southampton
Ross Stewart,https://fbref.com/en/players/18986367/Ross-Stewart,FW,28,12,4,389,4.3,1,0,1,1,0,0,1,0,Southampton
Ryan Fraser,https://fbref.com/en/players/d56543a0/Ryan-Fraser,"FW,DF",30,8,4,306,3.4,0,0,0,0,0,0,0,1,Southampton
Charlie Taylor,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor,DF,30,8,3,356,4.0,0,0,0,0,0,0,1,0,Southampton
Joe Lumley,https://fbref.com/en/players/bdf3a08e/Joe-Lumley,GK,29,3,3,270,3.0,0,0,0,0,0,0,0,0,Southampton
Armel Bella Kotchap,https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,DF,22,4,2,331,3.7,0,0,0,0,0,0,0,0,Southampton
Albert Grønbaek,https://fbref.com/en/players/0da5076f/Albert-Gronbaek,"FW,MF",23,4,2,143,1.6,0,0,0,0,0,0,0,0,Southampton
Jay Robinson,https://fbref.com/en/players/2a616c85/Jay-Robinson,"MF,FW",17,4,1,137,1.5,0,0,0,0,0,0,0,0,Southampton
Maxwel Cornet,https://fbref.com/en/players/beb391dd/Maxwel-Cornet,FW,27,2,1,72,0.8,0,0,0,0,0,0,1,0,Southampton
Samuel Edozie,https://fbref.com/en/players/007414dd/Samuel-Edozie,"DF,FW",21,2,0,65,0.7,0,0,0,0,0,0,1,0,Southampton
Samuel Amo-Ameyaw,https://fbref.com/en/players/9eedf0e0/Samuel-Amo-Ameyaw,"FW,DF",18,2,0,28,0.3,0,0,0,0,0,0,1,0,Southampton
Joachim Kayi Sanda,https://fbref.com/en/players/e2b2a181/Joachim-Kayi-Sanda,DF,17,2,0,14,0.2,0,0,0,0,0,0,0,0,Southampton
Ronnie Edwards,https://fbref.com/en/players/be90c4b0/Ronnie-Edwards,DF,21,1,0,12,0.1,0,0,0,0,0,0,0,0,Southampton
Carlos Alcaraz,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,MF,21,1,0,10,0.1,0,0,0,0,0,0,0,0,Southampton
Jayden Moore,https://fbref.com/en/players/ed23d14e/Jayden-Moore,DF,,0,0,,,,,,,,,,,Southampton
Joe O'Brien-Whitmarsh,https://fbref.com/en/players/fd1c27b8/Joe-OBrien-Whitmarsh,MF,19,0,0,,,,,,,,,,,Southampton
